energy,theta,2theta,IT_cps_ave,I0_cps_ave
8407.75,75.60255,151.6451,17813.805278,181585.099519
8408.0,75.5958,151.63165,17759.61264,181402.523469
8408.25,75.5891,151.61815,17741.654134,181430.432823
8408.5,75.58235,151.6047,17656.509937,181006.229677
8408.75,75.5756,151.5912,17649.698653,181118.037068
8409.0,75.5689,151.57775,17511.558985,181122.884601
8409.25,75.56215,151.5643,17432.151846,180515.197725
8409.5,75.55545,151.55085,17327.491236,180216.277804
8409.75,75.5487,151.53745,17264.326162,180240.553462
8410.0,75.542,151.524,17271.637912,180228.404095
8410.25,75.5353,151.5106,17137.549594,180094.478484
8410.5,75.5286,151.4972,17007.589679,179857.916926
8410.75,75.5219,151.48375,16955.86032,179790.411102
8411.0,75.5152,151.47035,16950.320591,179733.327048
8411.25,75.5085,151.45695,16866.924043,179721.771248
8411.5,75.5018,151.4436,16789.903854,179490.585174
8411.75,75.4951,151.4302,16696.825327,179399.288391
8412.0,75.4884,151.41685,16650.763228,179296.957388
8412.25,75.48175,151.40345,16549.622908,178935.869089
8412.5,75.47505,151.3901,16499.761781,179181.859429
8412.75,75.4684,151.37675,16322.333842,179113.615928
8413.0,75.4617,151.3634,16330.972626,179209.988072
8413.25,75.45505,151.3501,16239.046141,178909.818238
8413.5,75.44835,151.33675,16182.292873,178924.799415
8413.75,75.4417,151.3234,16118.779557,179243.809134
8414.0,75.43505,151.3101,16067.943286,178717.838575
8414.25,75.4284,151.2968,15955.332291,178621.863156
8414.5,75.42175,151.2835,15927.722007,178818.732037
8414.75,75.4151,151.2702,15773.515246,178875.091647
8415.0,75.40845,151.2569,15752.328767,178592.067848
8415.25,75.4018,151.2436,15684.443218,178434.914595
8415.5,75.39515,151.23035,15671.892751,178566.771499
8415.75,75.38855,151.2171,15558.639501,178339.803353
8416.0,75.3819,151.2038,15463.347169,178360.551829
8416.25,75.3753,151.19055,15444.184149,178361.178303
8416.5,75.36865,151.1773,15398.495318,178453.090108
8416.75,75.36205,151.16405,15312.027638,178464.232664
8417.0,75.3554,151.15085,15278.904932,178344.250991
8417.25,75.3488,151.1376,15172.572476,178157.356296
8417.5,75.3422,151.1244,15100.35942,178114.154878
8417.75,75.3356,151.11115,15046.085363,178194.935553
8418.0,75.329,151.09795,15052.990479,177899.125781
8418.25,75.3224,151.08475,14937.906217,177802.037537
8418.5,75.3158,151.07155,14948.388916,178081.696697
8418.75,75.3092,151.05835,14900.573588,177820.506627
8419.0,75.3026,151.0452,14927.667059,177891.28591
8419.25,75.296,151.032,14908.55717,177831.687385
8419.5,75.2894,151.01885,14831.052643,177484.051693
8419.75,75.28285,151.0057,14790.533209,177797.604877
8420.0,75.27625,150.9925,14806.448031,177640.681849
8420.25,75.2697,150.97935,14752.735552,177349.037423
8420.5,75.2631,150.96625,14741.537953,177677.255684
8420.75,75.25655,150.9531,14720.193843,177377.205918
8421.0,75.25,150.93995,14779.328329,177447.040997
8421.25,75.2434,150.92685,14817.56738,177274.83628
8421.5,75.23685,82.6537,14785.75868,177093.199085
8421.75,75.2303,82.6537,14785.264819,177364.118676
8422.0,75.22375,150.8875,14823.369001,177380.775794
8422.25,75.2172,150.8744,14749.240735,177708.035827
8422.5,75.21065,82.6537,14857.63876,177320.804132
8422.75,75.2041,150.84825,14852.103648,177307.627214
8423.0,75.1976,150.83515,14939.374223,177075.500427
8424.114479,75.1685,150.77695,14984.064243,176710.191296
8425.235815,75.13925,150.7185,15244.784696,176732.298524
8426.36401,75.1099,150.65985,15555.734027,176530.314603
8427.499063,75.08045,150.60095,15831.267926,176615.404197
8428.640973,75.0509,150.5418,16178.614396,176273.749581
8429.789742,75.02125,150.48245,16470.659236,175848.288215
8430.945368,74.99145,150.4229,16889.272438,175800.434391
8432.107853,74.96155,150.3631,17223.375042,175730.060376
8433.277195,74.93155,150.3031,17474.615733,175631.332607
8434.453395,74.90145,150.2429,17819.572953,175499.562122
8435.636454,74.87125,150.1825,18108.00668,175345.836626
8436.82637,74.8409,150.12185,18301.401114,175165.136653
